Branch_name,Vehicle_Make,Year_Manufacture,Loan_Tenure,Interest_Rate,Annual_Income,Loan_Amount
BATU PAHAT BRANCH,PROTON,2019,60,0.0393," RM96,001 - RM120,000",70000
TAMAN MIDAH,PERODUA,2019,108,0.0466," RM24,001 - RM48,000",45800
"TAMAN NUSA BESTARI JAYA, JB BRANCH",PROTON,2019,60,0.0475," RM48,001 - RM72,000",28800
KL MAIN (EON BUILDING),TOYOTA,2019,84,0.0388," RM24,001 - RM48,000",100000
SS2 PJ,HONDA,2019,60,0.0394," RM48,001 - RM72,000",58000
TAMAN SRI TEBRAU,HONDA,2018,60,0.0393," RM96,001 - RM120,000",80000
MASAI,HONDA,2019,108,0.0403," RM24,001 - RM48,000",58900
SS2 PJ,HONDA,2019,108,0.0404," RM96,001 - RM120,000",94000
CHERAS BRANCH,PERODUA,2019,108,0.047," RM48,001 - RM72,000",32500
"PUSAT DAGANGAN BAKRI,MUAR",PERODUA,2019,108,0.0477," RM18,001 - RM24,000",31900
KL MAIN (EON BUILDING),HONDA,2019,84,0.0393," Above RM120,000    ",109600
PUCHONG JAYA,HONDA,2019,108,0.0406," RM24,001 - RM48,000",60000
BINTULU BRANCH,PERODUA,2019,108,0.0485," RM24,001 - RM48,000",35600
PUCHONG JAYA,MERCEDES BENZ,2019,84,0.0378," RM96,001 - RM120,000",205000
TAMAN SRI TEBRAU,PROTON,2019,84,0.0391," Above RM120,000    ",101800
TAMAN SRI TEBRAU,HONDA,2019,84,0.0396," Above RM120,000    ",66000
PUCHONG JAYA,NISSAN,2019,108,0.0387," Above RM120,000    ",133200
TAMPOI,PROTON,2019,108,0.0483," RM24,001 - RM48,000",32000
"PUSAT DAGANGAN BAKRI,MUAR",PERODUA,2019,108,0.0467," RM24,001 - RM48,000",50000
BATU PAHAT BRANCH,PERODUA,2019,60,0.0456," RM96,001 - RM120,000",32700
"J.SONG THIAN CHEOK,KUCHING       ",PERODUA,2019,108,0.0419," RM24,001 - RM48,000",73600
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,84,0.049," RM24,001 - RM48,000",22500
"PORT KLANG, SELANGOR         ",PROTON,2019,108,0.0495," RM18,001 - RM24,000",29400
BANTING BRANCH,TOYOTA,2019,84,0.039, Undisclosed        ,50000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0402," RM72,001 - RM96,000",66000
TAMAN MIDAH,LEXUS,2018,108,0.0392," Above RM120,000    ",301000
MELAKA TMR1,NISSAN,2019,84,0.039," RM24,001 - RM48,000",118900
KL MAIN (EON BUILDING),HONDA,2019,60,0.0407," Above RM120,000    ",40000
PUCHONG JAYA,PERODUA,2019,60,0.042," Above RM120,000    ",56000
BIDOR BRANCH,PERODUA,2019,108,0.05," RM18,001 - RM24,000",29000
"BERCHAM, PERAK BRANCH",HONDA,2019,108,0.0401, Undisclosed        ,70000
"JLN MASJID LAMA, SARIKEI         ",PERODUA,2019,60,0.041," RM48,001 - RM72,000",61200
SETAPAK BRANCH,PERODUA,2019,60,0.0462," RM24,001 - RM48,000",28900
"PUSAT DAGANGAN BAKRI,MUAR",TOYOTA,2018,60,0.039," RM48,001 - RM72,000",70000
SITIAWAN BRANCH,TOYOTA,2019,60,0.0392," RM48,001 - RM72,000",50000
"JLN KAMPONG BARU, SUNGAI PETANI BRANCH",NISSAN,2019,60,0.0396," RM72,001 - RM96,000",70000
"JALAN KAPAR, KLANG          ",TOYOTA,2019,108,0.0404," RM48,001 - RM72,000",90000
"T.NIAGA JAYA,BKT MERTAJAM   ",PROTON,2019,108,0.0503," RM24,001 - RM48,000",36700
SEREMBAN 2,PERODUA,2019,108,0.0474," RM48,001 - RM72,000",31900
TAMAN MELAWATI BRANCH,TOYOTA,2019,36,0.0416," Above RM120,000    ",50000
KLANG BRANCH,PERODUA,2019,108,0.0485," RM24,001 - RM48,000",50200
BATU PAHAT BRANCH,PROTON,2019,108,0.0471," RM24,001 - RM48,000",41000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.046," RM24,001 - RM48,000",44300
"JALAN KAPAR, KLANG          ",HONDA,2019,108,0.0397, Undisclosed        ,50000
"PUSAT DAGANGAN BAKRI,MUAR",NISSAN,2018,108,0.0401," RM48,001 - RM72,000",132900
SEREMBAN 2,PROTON,2019,84,0.0465," RM24,001 - RM48,000",28900
"JLN MASJID LAMA, SARIKEI         ",PERODUA,2019,84,0.0473," RM12,001 - RM18,000",39000
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0472," RM72,001 - RM96,000",39000
BATU PAHAT BRANCH,PERODUA,2019,84,0.0478," RM24,001 - RM48,000",30000
